BIAS, to cause to incline to one side [v BIASSED or BIASEDBIASING or BIASSING
BIBB, a mast support [n -S]
BIBE, (Irish) a type of banshee whose crying is an omen of death [n -S]
BIBS, BIBto tipple [v]
BICE, a pale blue or green paint [n -S]
BIDE, to waitdwell
BIDI, (Hindi) a hand rolled cigarettealso BEEDI
BIDS, BIDto make an offer [v]
BIEN, (Scots) well offcomfortable
BIER, a coffin stand [n -S]
BIFF, to strike hard [v -ED-ING
BIGA, (Latin) a two-horse chariot [n BIGAE]
BIGG, a four-rowed barley [n -S]
BIGS, BIGto build [v]
BIKE, to ride a bicycle [v BIKEDBIKING
BILE, (Scots) to boil [v BILEDBILING
BILK, to avoid paying someone what is due [v -ED-ING
BILL, to charge someone for services [v -ED-ING
BIMA, (Hebrew) a raised platform in a synagoguealso BEMA
BIND, to tiefasten [v BOUND or (archaic) YBOUND
BINE, the flexible shoot of climbing plantesp. hop [n -S]
BING, a heap or pileas of wood [n -S]
BINK, a bench [n -S]
BINS, BINto store in a large receptacle [v]
BINT, (slang) a woman [n -S]
BIOG, (colloquial) biographyalso BIO [n -S]
BIOS, BIO(short for) a biography [n]
BIRD, to hunt birds [v -ED-ING
BIRK, (Scots) birch [n -S]
BIRL, to spin round [v -ED-ING
BIRO, (tradename) a kind of ballpoint pen [n -S]
BIRR, (Amharic) to make a whirring noise [v -ED-ING
BISE, (French) a cold wind in Switzerlandalso BIZE [n -S]
BISH, a mistakea blunder [n -ES]
BISK, a kind of rich thick soupalso BISQUE [n -S]
BIST, (archaic) 2nd person singular of beto exist [v]
BITE, to seize with the teeth [v BITBITTEN
BITO, a tree of dry tropical Africa and Asia [n -S]
BITS, BITto curb or restrain [v]
BITT, to secure a cable to a bitt or post [v BITTEDBITTING
BIZE, (French) a cold N or NE wind prevalent at certain seasons in and near Switzerlandalso BISE [n -S]
BLAB, to tell tales [v BLABBEDBLABBING
BLAD, (Scots) to strikedisfigure [v BLADDED
BLAE, (Old Norse) blackish blue [adj BLAERBLAEST]
BLAG, to robsteal [v BLAGGED
BLAH, to talk stupidly or insipidly [v -ED-ING
BLAM, to make a sound like a gunshot [v BLAMMEDBLAMMING
BLAT, to bleatcry like a sheep [v BLATTED
BLAW, (Scots) to blow [v BLAWEDBLAWN
BLAY, a small fishalso BLEY [n -S]
BLEB, a bubble or blister [n -S]
BLED, BLEEDto lose blood [v]
BLEE, (archaic) complexion [n -S]
BLET, a form of decay in fruit which is overripe [n -S] / to decay like this [v BLETTEDBLETTING
BLEW, BLOWto propel by a current of air [v]
BLEY, a small fishalso BLAY [n -S]
BLIN, (Russian) a small buckwheat pancakealso BLINI
BLIP, to remove sound from a recording [v BLIPPEDBLIPPING
BLIT, to transfer a large array of bits between different locations in a computer's memory [v BLITTEDBLITTING
BLOB, to form into a globule [v BLOBBEDBLOBBING
BLOC, (French) a combination of partiesnations or other units to achieve a common purpose [n -S]
BLOG, to keep a personal online journal [v BLOGGEDBLOGGING
BLOT, to spot or stain [v BLOTTEDBLOTTING
BLOW, to propel by a current of air [v BLEW or BLOWEDBLOWN
BLUB, to weep [v BLUBBEDBLUBBING
BLUD, bloodin the sense of a close friend [n -S]
BLUE, to make the colour of a clear sky [v BLUEDBLUING or BLUEING
BLUR, to make indistinct [v BLURREDBLURRING
BOAB, a tropical tree with a swollen trunkalso BAOBAB [n -S]
BOAK, (dialect) to belchvomit
BOAR, a male pig [n -S]
BOAS, BOAa large constricting snake [n]
BOAT, to travel on a watercraft [v -ED-ING
BOBA, a contagious skin disease resembling syphilisaka yaws
BOBO, a well-to-do person who holds bohemian values and leads a bourgeois life [n -S]
BOBS, BOBto move quickly up and down [v]
BOCK, to belchalso BOKE
BODE, to foretellbe an omen of [v BODED
BODS, BOD(colloquial) a person [n]
BODY, to give form to [v BODIEDBODYING
BOEP, (South African) a protruding belly [n -S]
BOET, (South African) a brotheror a buddy [n -S]
BOFF, to hitstrike [v -ED
BOGS, BOGto sink into a bog [v]
BOGY, a goblina bugbear
BOHO, (short for) a bohemian [n -S]
BOHS, BOHan exclamation used to startle [n]
