GOR,  a seagull [n -S]
GOS,  GOa Japanese board game [n]
GOT,  GETto obtain or acquire [v]
GOV,  (short for) governoralso GUV [n -S]
GOX,  gaseous oxygen [n -ES]
GOY,  (offensive) a Jewish word for a non-Jew [n GOYIM or GOYS]
GRR,  an interjection used to express anger or annoyance [interj]
GUB,  to strike on the mouth [v GUBBEDGUBBING
GUE,  an old Shetland violalso GJU
GUL,  a design in oriental carpets [n -S]
GUM,  to smear with gum (a sticky substance) [v GUMMEDGUMMING
GUN,  to shoot with a gun (a portable firearm) [v GUNNEDGUNNING
GUP,  gossip [n -S]
GUR,  an unrefinedsweet cane sugar
GUS,  GU(Old Norse) an old Shetland viol
GUT,  to remove the guts (intestines) of [v GUTTEDGUTTING
GUV,  (short for) governoralso GOV [n -S]
GUY,  to make fun of [v -ED-ING
GYM,  (short for) a gymnasium [n -S]
GYP,  to swindlealso GIP [v GYPPED
HAD,  (Scots) to hold [v HADHADDEN
HAE,  (Scots) to have [v HAEDHAEN
HAG,  (Scots) to hack [v HAGGEDHAGGING
HAH,  a sound of surprise [n -S]
HAJ,  a pilgrimage to Meccaalso HADJ
HAM,  to overactalso HAMBONE [v HAMMED
HAN,  (Spenser) 3rd person plural of HAVEto possess [v]
HAO,  (Vietnamese) a monetary unit of Vietnamalso CHAO [n -S]
HAP,  to happen by chance [v HAPPEDHAPPING
HAS,  HAVEto possess [v]
HAT,  to provide with a covering for the head [v HATTEDHATTING
HAW,  to make indecisive noises [v -ED-ING
HAY,  to convert cut dried grass into fodder [v -ED-ING
HEH,  a Hebrew letter [n -S]
HEM,  to provide with an edge [v HEMMEDHEMMING
HEN,  to lose courage [v HENNEDHENNING
HEP,  well abreast of fashionable knowledge [adj HEPPERHEPPEST] / the fruit of a rose [n -S]
HER,  a pronoun or possessive adjective representing a female person or thing [adj]
HES,  HEa male person or animal [n]
HET,  (colloquial) a heterosexual [n -S]
HEW,  to cut with an ax [v HEWEDHEWN
HEX,  to cast an evil spell upon [v -ED-ING
HEY,  a winding country dance [n -S] / to dance the hey [v -ED-ING
HIC,  used to represent a hiccup [interj]
HID,  HIDEto conceal [v]
HIE,  to hurry alongalso HYE [v HIED
HIM,  a pronoun representing a male person or thing [pron -S]
HIN,  a Hebrew unit of liquid measure [n -S]
HIP,  to build a type of roof [v HIPT or HIPPEDHIPPING
HIS,  of or belonging to a male person or thing [adj]
HIT,  to strike forcibly [v HITHITTING
HMM,  used to express thoughtful considerationalso HM [interj]
HOA,  to stop [v -ED-ING
HOB,  to furnish with hobnails [v HOBBEDHOBBING
HOC,  (Latin) this [adj]
HOD,  to bob or jog [v HODDEDHODDING
HOE,  to garden with a hoe [v HOEDHOEING
HOG,  to eat hoggishly [v HOGGEDHOGGING
HOH,  to stopalso HO
HOI,  to urgeincite [v -ED
HOM,  (Persian) a sacred plant of the ancient Persiansalso HAOMA
HON,  (short for) honeyas a term of endearment [n -S]
